ProductCode,ProductCodeType,Description,SubCategoryCode,ProgramCode,CodeLength,GTINClass,CheckDigit,Company
36800304284,UPC,FOOD CLUB FRZ CUT GR,028,5D,11,GTIN-12-F,8,N/A,00368003042848
36800304833,UPC,FC ASPTC STOCK CHKN,061,5D,11,GTIN-12-F,8,N/A,00368003048338
368003071794,UPC,INSTANT BROWN RICE B,087,5D,12,GTIN-12-T,4,N/A,00368003071794
36800307278,UPC,FC GRINDER GARLIC &,057,5D,11,GTIN-12-F,4,N/A,00368003072784
36800307285,UPC,FC GRINDER BLACK PEP,057,5D,11,GTIN-12-F,2,N/A,00368003072852
36800307810,UPC,3# B SIZE RED POTATO,005,5D,11,GTIN-12-F,6,N/A,00368003078106
36800307865,UPC,FX TOMATO JUICE ORGA,109,5D,11,GTIN-12-F,6,N/A,00368003078656
36800307919,UPC,FC BLACKBERRIES,047,5D,11,GTIN-12-F,6,N/A,00368003079196
36800309500,UPC,FC BROWN GRAVY MIX-,055,5D,11,GTIN-12-F,4,N/A,00368003095004
36800310117,UPC,FC NUTMEG,057,5D,11,GTIN-12-F,0,N/A,00368003101170
36800312272,UPC,FOOD CLUB CREAM STYL,029,5D,11,GTIN-12-F,4,N/A,00368003122724
36800314153,UPC,FCLUB FLOUR SELF RIS,087,5D,11,GTIN-12-F,4,N/A,00368003141534
36800315174,UPC,FOOD CLUB NO SALT AD,021,5D,11,GTIN-12-F,8,N/A,00368003151748
36800316706,UPC,ONION WHITE 12/2 LB,009,5D,11,GTIN-12-F,0,N/A,00368003167060
36800316713,UPC,ONION RED 12/2 LB,009,5D,11,GTIN-12-F,8,N/A,00368003167138
36800321885,UPC,FULL CIRCLE FLAX AND,075,5D,11,GTIN-12-F,4,N/A,00368003218854
36800321953,UPC,CVS MEDICATED TRAVEL,050,5D,11,GTIN-12-F,0,CVS,00368003219530
36800322165,UPC,FOOD CLUB ONION RING,062,5D,11,GTIN-12-F,6,N/A,00368003221656
36800328181,UPC,FCIRCLE CAYENNE PEPP,056,5D,11,GTIN-12-F,0,N/A,00368003281810
36800328235,UPC,FC CURRY POWDER,056,5D,11,GTIN-12-F,0,N/A,00368003282350
